,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.0815,7.37264156,-2.06132074,-2.06132074,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0825,-2.06132074,2.65566036,-2.06132074,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0835,21.52358496,2.65566036,-2.06132074,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0845,7.37264156,-2.06132074,2.65566036,-2.06132074,12.08962266,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0855,2.65566036,2.65566036,2.65566036,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0865,-2.06132074,-2.06132074,-2.06132074,12.08962266,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0875,-2.06132074,-2.06132074,-2.06132074,-2.06132074,16.80660376,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0885,-2.06132074,2.65566036,2.65566036,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0895,2.65566036,-2.06132074,-2.06132074,2.65566036,2.65566036,-0.01886792,4.69811318,-0.01886792,-0.01886792,4.69811318
0.0905,-2.06132074,2.65566036,-2.06132074,7.37264156,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0915,2.65566036,7.37264156,-2.06132074,-2.06132074,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0925,-2.06132074,7.37264156,7.37264156,12.08962266,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0935,-2.06132074,-2.06132074,-2.06132074,7.37264156,12.08962266,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0945,-2.06132074,2.65566036,2.65566036,7.37264156,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0955,7.37264156,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0965,-2.06132074,-2.06132074,-2.06132074,7.37264156,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0975,2.65566036,12.08962266,2.65566036,2.65566036,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0985,7.37264156,12.08962266,2.65566036,12.08962266,7.37264156,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0995,2.65566036,2.65566036,-2.06132074,2.65566036,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
