,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5
0.0635,-1.08877968,8.00212942,8.00212942,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0645,8.00212942,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0655,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.78239146,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0665,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0675,8.00212942,8.00212942,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,-0.8981982
0.0685,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0695,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0705,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0715,8.00212942,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0725,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
