,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0575,-2,-2,5.4074074,5.4074074,-2,6.45925924,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,6.04444444,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0585,-2,12.8148148,12.8148148,-2,-2,-0.94814816,6.45925924,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,6.637037,-0.7703704,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0595,-2,-2,5.4074074,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,6.5925926
0.0605,-2,-2,-2,5.4074074,-2,-0.94814816,-0.94814816,-0.94814816,6.45925924,-0.94814816,-1.36296296,-1.36296296,6.04444444,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0615,-2,12.8148148,5.4074074,-2,-2,-0.94814816,6.45925924,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,6.5925926,-0.8148148,-0.8148148,-0.8148148,6.5925926
0.0625,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,6.45925924,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0635,-2,-2,-2,-2,5.4074074,6.45925924,-0.94814816,-0.94814816,6.45925924,-0.94814816,6.04444444,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0645,5.4074074,5.4074074,-2,-2,12.8148148,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0655,12.8148148,-2,5.4074074,-2,5.4074074,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,6.04444444,6.04444444,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0665,-2,5.4074074,5.4074074,-2,5.4074074,-0.94814816,6.45925924,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,6.04444444,-0.7703704,-0.7703704,-0.7703704,-0.7703704,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0675,-2,-2,-2,5.4074074,5.4074074,-0.94814816,6.45925924,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,6.637037,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0685,-2,5.4074074,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,6.45925924,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,6.637037,6.637037,6.637037,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
