,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0285,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,18.44326535,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0295,-1.96346939,-1.96346939,18.03653061,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0305,-1.96346939,18.44469391,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0315,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,19.30897963,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0325,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0335,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0345,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,18.44326535,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0355,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0365,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0375,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,19.30897963,-1.09918367,19.30897963,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0385,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0395,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0405,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0415,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0425,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
